date,year,trt_yr,yr_mon,peak,stream,ratio,mean.chla,mean.afdm,mean.bf.ratio,mean.cp,mean.cn,mean.np,se.chla,se.afdm,se.bf.ratio,se.cp,se.cn,se.np,Light,mean.light2,mean.discharge2,mean.temp2,mean.din2,mean.srp2,mean.np2,light2.z,temp2.z,discharge2.z,addN2.z,addP2.z,addNP2.z
3/10/2012,2012,YR1,2012-03,peak,10,8,23.65647813,0.117069445,5.325987936,NA,NA,NA,6.577248116,0.021237262,0.495418892,NA,NA,NA,1.407758513,1.002921422,13.95264984,8.173205784,254.8532073,36.0611178,16.91538164,0.192418082,-0.359708956,0.993545507,0.416999696,0.569406168,-0.25158953
4/10/2012,2012,YR1,2012-04,peak,10,8,8.990019793,0.137,38.042515,242.3886234,7.096645609,34.18153364,3.302045252,0.025262523,26.23009604,20.82603187,0.050400811,3.04219019,1.296848369,1.352303441,10.94419769,9.799816129,197.1297101,36.98725029,15.06024653,0.599345407,0.072734023,0.64183527,0.158204901,0.588628139,-0.346443094
5/10/2012,2012,YR1,2012-05,peak,10,8,91.67964166,0.289402778,4.534859311,246.6297545,6.851539976,35.82674125,32.83556778,0.048153494,1.379422704,24.58273026,0.146094897,2.812371192,0.659488776,0.978168572,10.71689509,11.00832806,188.3312556,52.0308058,7.423418934,0.158394829,0.349799924,0.611440493,0.112195313,0.847312902,-0.924081217
6/10/2012,2012,YR1,2012-06,peak,10,8,84.73838333,0.33853,4.213472929,242.3148762,7.643605054,31.79929139,13.20968548,0.03742931,0.581163894,23.74694355,0.203254344,3.286585282,0.7780588,0.718773788,9.999045998,12.2651614,160.9121272,49.2159441,9.068416187,-0.261116535,0.607381834,0.511034095,-0.046354987,0.805152967,-0.760643625
7/10/2012,2012,YR1,2012-07,notpeak,10,8,13.16347083,0.06449875,10.82033937,215.3857256,8.003769963,28.48405647,5.951803556,0.01407158,4.708321922,42.3962491,0.522034366,8.151093996,0.509150866,0.643604833,10.43724369,13.67393979,110.4540339,41.23359596,9.56967873,-0.411504888,0.866436712,0.57314868,-0.42549863,0.671010082,-0.716711959
8/10/2012,2012,YR2,2012-08,notpeak,10,8,1.303108334,0.064985,67.87720704,366.1162505,7.91777482,48.22443089,0.488357136,0.010344498,17.20856655,75.08242413,0.29156201,11.30134063,0.241380717,0.375265792,11.17417308,14.27057759,136.6944197,38.47860469,10.2634171,-1.145940502,0.968191913,0.671951656,-0.210716011,0.61859208,-0.659565197
9/10/2012,2012,YR2,2012-09,notpeak,10,8,2.256644444,0.065979167,53.07056658,120.3484213,6.430128948,18.94769644,1.132141824,0.009454029,27.19783594,3.991234166,0.396035672,1.400556219,0.201873989,0.221627353,9.984751486,13.87150448,132.4694076,30.66306145,14.8781109,-1.862931563,0.90061446,0.508962283,-0.242352905,0.446487914,-0.356378406
10/10/2012,2012,YR2,2012-10,notpeak,10,8,0.1946875,0.1024,493.0979125,160.0893968,5.687274448,28.14870255,0.012979167,NA,NA,NA,NA,NA,0.28613331,0.24400365,14.83441217,12.57665269,135.1200914,32.10190073,10.71002016,-1.731979243,0.667135125,1.082291562,-0.222388794,0.481248184,-0.624785408
11/10/2012,2012,YR2,2012-11,notpeak,10,8,0.465519445,0.130122222,398.4305328,92.42898699,6.537861304,14.32079796,0.162589355,0.019401416,186.3682864,31.47315265,0.123267929,5.078158817,0.396253497,0.341193404,19.2994463,9.896969355,141.8878698,35.80668702,6.819014102,-1.275530376,0.096238027,1.46335215,-0.17314095,0.564038952,-0.99342601
12/10/2012,2012,YR2,2012-12,notpeak,10,8,0.355953646,0.0553125,169.609416,193.68334,14.57315168,13.09051097,0.054477401,0.005452856,33.24035039,33.33227201,1.881681516,0.81680642,0.513738878,0.454996188,18.05543225,7.930685341,132.1504077,37.02905773,7.913327486,-0.883650727,-0.431476292,1.36685876,-0.244782396,0.589484463,-0.871897048
1/10/2013,2013,YR2,2013-01,notpeak,10,8,0.592498958,0.034731945,60.68307485,277.3388469,14.37107286,23.2758399,0.038244519,0.007335566,15.94405849,75.49333279,6.460617394,4.294103978,0.447457355,0.480598117,23.30700834,7.554243151,158.1261053,38.34523259,12.69380927,-0.809121643,-0.547340986,1.736595468,-0.063954463,0.615960107,-0.486026413
2/10/2013,2013,YR2,2013-02,notpeak,10,8,0.234490278,0.043372222,206.5275553,NA,NA,NA,0.04451768,0.00461094,61.0327198,NA,NA,NA,0.662093344,0.55477535,23.74462005,7.184593909,161.4780778,38.94270293,9.170872656,-0.613709962,-0.666875727,1.763534736,-0.042817099,0.627680045,-0.75146991
